first_name,last_name,phone_num,email,street_address,city,state,zip_code
benjamin,morris,902-761-3367,benjamin.morris@hotmail.org,927 Willow Boulevard,Centerville,Indiana,50639
angel,bolton,180-408-3481,angelfast@yahoo.org,285 Lake Trail,Dayton,Idaho,83686
isabella,cook,703-466-4752,icook@hotmail.net,970 Willow Terrace,Franklin,Colorado,76864
grace,harris,213-546-9190,gracebright@outlook.io,694 Oak Place,Ashland,Oregon,15969
abigail,green,409-480-5322,agreen@gmail.edu,73 Park Way,Dayton,New Mexico,52120
christopher,ward,704-793-5732,christopher.ward@outlook.com,876 Spruce Avenue,Kingston,Utah,34515
ava,bailey,405-509-3210,bailey97@instantmail.edu,229 Oak Street,Arlington,Arizona,66225
james,coleman,845-501-9866,jamesstrong@yale.net,484 Park Way,Kingston,Arkansas,83114
mia,sanders,685-375-2698,sanders38@gmail.io,520 Pine Drive,Kingston,Missouri,75151
jackson,bell,385-563-8474,bell73@yahoo.org,631 Hill Parkway,Centerville,Hawaii,92177
